ano (uid);ano (nome);local (uid);local (nome);abrangencia (uid);abrangencia (nome);pais (uid);pais (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);racacor (uid);racacor (nome);grupoetario (uid);grupoetario (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2021;2021;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3002;10 a 19;429;375;452;427;451;436;448;421;439;420;400;430;5.128
2021;2021;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3003;20 a 29;1.012;878;1.311;1.384;1.344;1.373;1.182;1.035;927;938;830;951;13.165
2021;2021;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3004;30 a 39;1.947;1.798;3.094;3.137;3.061;3.162;2.512;2.053;1.625;1.565;1.568;1.717;27.239
2021;2021;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3005;40 a 49;3.708;3.508;6.141;6.392;6.158;6.359;4.713;3.416;3.070;2.932;2.792;3.130;52.319
2021;2021;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3006;10 a 49;7.096;6.559;10.998;11.340;11.014;11.330;8.855;6.925;6.061;5.855;5.590;6.228;97.851
2022;2022;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3002;10 a 19;587;413;416;369;406;427;422;384;388;393;401;422;5.028
2022;2022;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3003;20 a 29;1.179;896;922;894;940;863;970;916;885;869;792;900;11.026
2022;2022;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3004;30 a 39;1.852;1.547;1.565;1.485;1.634;1.552;1.570;1.593;1.482;1.528;1.408;1.487;18.703
2022;2022;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3005;40 a 49;3.528;3.074;2.925;2.807;3.156;3.033;3.091;2.886;2.810;2.794;2.745;2.916;35.765
2022;2022;1;Óbitos por residência;1;País;76;Brasil;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;0;Todos;3006;10 a 49;7.146;5.930;5.828;5.555;6.136;5.875;6.053;5.779;5.565;5.584;5.346;5.725;70.522
