ano (uid);ano (nome);local (uid);local (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;1;País;76;Brasil;367;338;418;481;447;420;383;349;398;409;363;412;4.785
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;2;Região;1;Norte;47;47;60;54;48;43;45;45;57;50;54;53;603
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;11;Rondônia;4;1;4;1;4;0;2;4;7;5;6;6;44
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;12;Acre;4;3;3;2;3;2;2;0;1;3;0;4;27
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;13;Amazonas;18;11;11;13;10;15;11;18;17;13;11;8;156
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;14;Roraima;4;1;2;2;3;3;2;3;2;3;2;7;34
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;15;Pará;14;27;32;29;17;19;19;13;23;18;26;21;258
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;16;Amapá;1;1;3;3;6;1;6;2;4;3;6;2;38
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;3;Unidade da federação;17;Tocantins;2;3;5;4;5;3;3;5;3;5;3;5;46
2024;2024;1;Óbitos por residência;300001;MIF;1;Notificação de óbitos de mulheres;1;Número de óbitos;0;Todos;0;Todos;3002;10 a 19;0;Todos;2;Região;2;Nordeste;114;90;127;153;118;135;116;111;112;124;112;125;1.437
